RoomNo:101, IsLabRoom:No, Capacity:30, Equipments:Projector, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:Lab2, IsLabRoom:Yes, Capacity:25, Equipments:PC + ArduinoKit, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab3, IsLabRoom:Yes, Capacity:18, Equipments:PC + IoTBoard, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:Lab4, IsLabRoom:Yes, Capacity:22, Equipments:PC + SensorKit, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab5, IsLabRoom:Yes, Capacity:20, Equipments:PC + RoboticsSet, Days:Saturday Sunday Monday, Times:08:30 10:30 12:30
RoomNo:Lab6, IsLabRoom:Yes, Capacity:25, Equipments:PC + NetworkSwitch, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab7, IsLabRoom:Yes, Capacity:20, Equipments:PC + AIKit, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:Lab8, IsLabRoom:Yes, Capacity:30, Equipments:PC + MLKit, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:Lab9, IsLabRoom:Yes, Capacity:20, Equipments:PC + Microcontroller, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab10, IsLabRoom:Yes, Capacity:25, Equipments:PC + NetworkTools, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00

RoomNo:301, IsLabRoom:No, Capacity:35, Equipments:Projector, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:302, IsLabRoom:No, Capacity:25, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:303, IsLabRoom:No, Capacity:30, Equipments:Projector, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:304, IsLabRoom:No, Capacity:40, Equipments:Projector, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:305, IsLabRoom:No, Capacity:35, Equipments:Whiteboard, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:306, IsLabRoom:No, Capacity:25, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:307, IsLabRoom:No, Capacity:45, Equipments:Projector, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:308, IsLabRoom:No, Capacity:40, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:309, IsLabRoom:No, Capacity:30, Equipments:Projector, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:310, IsLabRoom:No, Capacity:35, Equipments:Whiteboard, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00

RoomNo:Lab11, IsLabRoom:Yes, Capacity:20, Equipments:PC + GPU, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:Lab12, IsLabRoom:Yes, Capacity:22, Equipments:PC + Server, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab13, IsLabRoom:Yes, Capacity:18, Equipments:PC + MicroprocessorKit, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:Lab14, IsLabRoom:Yes, Capacity:24, Equipments:PC + PLCModule, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab15, IsLabRoom:Yes, Capacity:20, Equipments:PC + VRKit, Days:Saturday Sunday Monday, Times:08:30 10:30 12:30
RoomNo:Lab16, IsLabRoom:Yes, Capacity:25, Equipments:PC + SimulationTools, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab17, IsLabRoom:Yes, Capacity:20, Equipments:PC + EmbeddedKit, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:Lab18, IsLabRoom:Yes, Capacity:22, Equipments:PC + NetworkingKit, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:Lab19, IsLabRoom:Yes, Capacity:18, Equipments:PC + AIChip, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:Lab20, IsLabRoom:Yes, Capacity:25, Equipments:PC + IoTDevices, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
